Title,Max,Teacher,Location,Type,Group,Section ID,Course ID,Year Groups,Legal Sex Requirements
Blob Studies,65535,Mr. Snibble,Crate Room,Non-sport,MW1,BS,BS,,
Rocket Tossing,65535,Captain Zog,Upper Field,Sport,MW2,RT,RT,,
Cheese Mechanics,65535,Dr. Wobble,Cafetorium,Non-sport,TT2,CM,CM,Y11,
Advanced Beeping,65535,Ms. Glitch,Server Room,Non-sport,MW3,AB,AB,Y12,
Dancing Cubes,65535,Zorp Instructor,Mirror Room,Sport,TT3,DC,DC,,
Float Club,65535,Commander Floatie,Pool Deck,Sport,MW2,FC,FC,,
Wiggle Theory,65535,Professor Noodle,Lab 404,Non-sport,TT1,WT,WT,,
Spinny Chairs 101,65535,Tutor Bounce,Breakout Room,Non-sport,MW1,SC,SC,,
Clang Practice,65535,Unit Clonk,Metal Room,Sport,MW2,CP,CP,,
Hat Logic,65535,Intern Beep,Room Hat-1,Non-sport,TT2,HL,HL,Y11 Y12,
Shouting Gently,65535,Ms. Fuzz,Sound Dome,Non-sport,MW3,SG,SG,,
Random Activities,65535,Coach Blorp,Anywhere,Sport,TT3,RA,RA,,
Suspicious Silence Club,65535,Agent Hmm,Secret Nook,Non-sport,MW1,SSC,SSC,,
Mystery Buttons,65535,Operator Zap,Control Room,Non-sport,TT2,MB,MB,,
Slow Running,65535,Speedy,Trackish Area,Sport,MW2,SR,SR,,
